,Time Interval,Average Packet Size,Standard Deviation Packet Size,Median Packet Size,Average Packet Intervals,Standard Deviation Packet Intervals,Median Packet Intervals,Inbound Packets,Outbound Packets,Total Packets,Cluster,Persona
0,"(0, 0.5)",956.1142857142858,208.24256909291532,1023.0,0.004413123809523808,0.005064829123655753,0.000492,47,58,105,1,1
1,"(0.5, 1.0)",933.644927536232,241.4502956429192,961.0,0.0035104275362318827,0.0044899371752594,0.000742,77,61,138,1,1
2,"(1.0, 1.5)",919.2272727272727,252.52234801062846,888.5,0.003204649350649352,0.0042704842013699005,0.000585,95,59,154,1,1
3,"(1.5, 2.0)",955.7131147540983,227.08397542032208,1078.0,0.004065868852459018,0.004687725630405854,0.0010605,64,58,122,1,1
4,"(2.0, 2.5)",929.561403508772,248.7685079195637,1028.0,0.004377578947368422,0.004975476475417099,0.0015810000000000002,61,53,114,1,1
5,"(2.5, 3.0)",911.8240740740739,287.52393898558927,787.5,0.004087324074074073,0.005014203908689763,0.0006585,60,48,108,1,1
6,"(3.0, 3.5)",884.9237288135594,299.9723678664636,1015.0,0.0042451440677966105,0.0048183369746510355,0.001231,68,50,118,1,1
7,"(3.5, 4.0)",893.8672566371681,240.15190521628998,948.0,0.004432893805309732,0.005070492191104386,0.001577,65,48,113,1,1
8,"(4.0, 4.5)",935.7475728155341,238.90763324859088,1066.0,0.004850757281553396,0.005371280614575092,0.001885,58,45,103,0,1
9,"(4.5, 5.0)",895.2521739130435,225.60918870013782,974.0,0.004255304347826086,0.004880874111342187,0.000965,67,48,115,1,1
10,"(5.0, 5.5)",950.9142857142856,230.48778185061693,1078.0,0.004737038095238094,0.004885174136577799,0.002421,59,46,105,1,1
11,"(5.5, 6.0)",944.6422018348624,221.54831940717602,1047.0,0.004414394495412844,0.005065762624057976,0.00133,64,45,109,1,1
12,"(6.0, 6.5)",959.3960396039604,228.57126150099973,1052.0,0.004889445544554458,0.005246759995416692,0.00256,54,47,101,0,1
13,"(6.5, 7.0)",878.1129032258065,316.1274110145383,865.5,0.003800782258064515,0.004698334966375644,0.0010445,74,50,124,1,1
14,"(7.0, 7.5)",931.8018018018017,246.69502039488583,973.0,0.0045188378378378385,0.0048348190368326,0.002088,63,48,111,1,1
15,"(7.5, 8.0)",948.6630434782608,255.0992169477177,914.0,0.004912141304347826,0.006727161522116801,0.0007405000000000001,54,38,92,0,1
16,"(8.0, 8.5)",888.2636363636364,230.40131232395473,833.0,0.004775499999999997,0.006976034049489225,0.0013859999999999999,66,44,110,1,1
17,"(8.5, 9.0)",866.6355140186915,259.2507488944393,828.0,0.004490018691588785,0.00592252313802167,0.001909,67,40,107,1,1
18,"(9.0, 9.5)",943.8762886597937,223.60825387885208,888.0,0.005189742268041235,0.005931333405241377,0.003078,55,42,97,0,1
19,"(9.5, 10.0)",928.6574074074074,247.69238391081237,841.0,0.004484259259259258,0.006163381844728764,0.000717,63,45,108,1,1
20,"(10.0, 10.5)",886.288,268.1594920216144,871.0,0.003873976,0.004820346571772614,0.000799,67,58,125,1,1
21,"(10.5, 11.0)",884.438596491228,259.4054139038244,852.0,0.004305815789473683,0.004748031151469386,0.0015035,59,55,114,1,1
22,"(11.0, 11.5)",908.9661016949153,225.84821815658057,857.0,0.004106466101694913,0.004949354193704319,0.0014175000000000001,66,52,118,1,1
23,"(11.5, 12.0)",911.4727272727272,191.6325186004564,846.0,0.004342672727272726,0.004945971466266353,0.0014975,58,52,110,1,1
24,"(12.0, 12.5)",899.40350877193,217.2072832144099,875.0,0.004308149122807018,0.004947435088105444,0.0010240000000000002,62,52,114,1,1
25,"(12.5, 13.0)",868.9921875,234.48407081514796,844.0,0.0038509921875,0.004872586857612478,0.000724,66,62,128,1,1
26,"(13.0, 13.5)",938.109243697479,173.91395641484283,922.0,0.0040946302521008395,0.0049890492281707294,0.001208,58,61,119,1,1
27,"(13.5, 14.0)",913.1523178807947,208.53951658600567,904.0,0.0033376754966887396,0.00461865324605874,0.000469,68,83,151,1,1
28,"(14.0, 14.5)",862.3164556962025,250.68444113436382,882.0,0.003031139240506329,0.004281342262987773,0.000472,73,85,158,1,1
29,"(14.5, 15.0)",912.2620689655173,209.36146376441528,903.0,0.003357882758620686,0.004515452377520885,0.000452,62,83,145,1,1
30,"(15.0, 15.5)",881.3478260869565,227.330642896243,853.5,0.003524217391304347,0.004616583875802872,0.000459,52,86,138,1,1
31,"(15.5, 16.0)",917.352564102564,198.62695800166668,885.0,0.0031799102564102548,0.004555833042866561,0.0004959999999999999,77,79,156,1,1
32,"(16.0, 16.5)",917.9791666666665,219.36033735590192,855.0,0.0034217916666666663,0.004573251738837828,0.0005729999999999999,61,83,144,1,1
33,"(16.5, 17.0)",891.5244755244755,195.35132065393643,858.0,0.00351360839160839,0.004614510577919603,0.0005610000000000001,59,84,143,1,1
34,"(17.0, 17.5)",888.3576158940398,225.5667334920602,885.0,0.0032033178807947,0.004366290377228495,0.000509,63,88,151,1,1
35,"(17.5, 18.0)",883.0945945945946,247.24947707965137,858.0,0.0033033648648648642,0.004429624249890696,0.0005935000000000001,65,83,148,1,1
36,"(18.0, 18.5)",870.6486486486486,268.39773676430696,866.0,0.003226236486486485,0.004394818840905045,0.00044800000000000005,64,84,148,1,1
37,"(18.5, 19.0)",895.4615384615386,194.78859954105687,870.0,0.0032216217948717943,0.0045042914996814495,0.00045250000000000005,72,84,156,1,1
38,"(19.0, 19.5)",890.3093525179856,241.11621014762667,861.0,0.003588776978417265,0.004727702598059447,0.000412,52,87,139,1,1
39,"(19.5, 20.0)",891.3263888888888,236.70242833244663,890.5,0.003446027777777776,0.004400658582219821,0.0005655,59,85,144,1,1
40,"(20.0, 20.5)",902.2573529411764,238.6785222481712,848.0,0.0036695220588235282,0.004855173575059315,0.0005035,53,83,136,1,1
41,"(20.5, 21.0)",833.9150326797386,287.34876909685767,870.0,0.003216686274509804,0.004486239756291319,0.000417,60,93,153,1,1
42,"(21.0, 21.5)",875.0895522388058,297.7719635829381,912.0,0.0035821044776119383,0.004635413956206429,0.0006305,48,86,134,1,1
43,"(21.5, 22.0)",825.242857142857,323.382613473288,854.5,0.003320392857142855,0.004852239280867909,0.0005319999999999999,62,78,140,1,1
44,"(22.0, 22.5)",868.1880341880342,215.13772379667083,960.0,0.004267641025641026,0.004820320973111606,0.001317,57,60,117,1,1
45,"(22.5, 23.0)",871.8615384615384,251.0697347103734,974.0,0.0038578076923076908,0.005418567136747893,0.0007995,75,55,130,1,1
46,"(23.0, 23.5)",875.4285714285713,218.01449172534612,858.0,0.003234192857142859,0.0042165639577765885,0.0008370000000000001,92,48,140,1,1
47,"(23.5, 24.0)",806.3758865248227,222.82637504206508,861.0,0.0035394113475177313,0.005258245511399789,0.000954,89,52,141,1,1
